tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
8896	27194	1	serviceberry	A	4.8	105	4	M	1.3	2014-06-11
12053	27195	1	black cherry	A	4.9	105.7	1.9	M	1.3	2014-06-11
8573	1	1	white oak	A	8.7	107.5	43.6	M	1.3	2014-06-11
12052	27196	1	red maple	A	9.1	107	4.1	M	1.3	2014-06-11
12051	27197	1	serviceberry	A	10.4	105.1	2.7	M	1.3	2014-06-11
44	2	1	serviceberry	A	10.8	108.6	6.4	M	1.3	2014-06-11
45	3	1	black cherry	A	11.6	105.7	45.8	M	1.3	2014-06-11
12050	14951	1	black cherry	A	12	107	4.1	M	1.3	2014-06-11
42	4	1	red maple	A	12.5	108.4	4.3	M	1.3	2014-06-11
43	5	1	red maple	A	12.5	105.8	5.4	M	1.3	2014-06-11
41	6	1	red maple	A	13.3	107.4	10.2	M	1.3	2014-06-11
12049	27198	1	red maple	A	14.9	109.4	2.9	M	1.3	2014-06-11
40	7	1	red maple	A	14.9	106.3	7.5	M	1.3	2014-06-11
39	8	1	red maple	A	15.6	109	9.1	M	1.3	2014-06-11
12048	27199	1	red maple	A	15.7	108.5	2.2	M	1.3	2014-06-11
37	9	1	red maple	A	16.5	108.3	4.3	M	1.3	2014-06-11
38	10	1	red maple	A	16.5	106	5.7	M	1.3	2014-06-11
12047	27200	1	red maple	A	17.5	106.6	2.6	M	1.3	2014-06-11
36	11	1	black cherry	A	17.9	107.3	18.3	M	1.3	2014-06-11
12046	27201	1	red maple	A	18.3	108	2.6	M	1.3	2014-06-11
12045	27202	1	red maple	A	19.9	107	2	M	1.3	2014-06-11
12044	27203	1	red maple	A	20.4	105.4	2.6	M	1.3	2014-06-11
35	12	1	serviceberry	A	20.7	107.5	4.2	M	1.3	2014-06-11
34	13	1	red maple	A	21.3	106.4	5.3	M	1.3	2014-06-11
33	14	1	red maple	A	21.9	107.5	6	M	1.3	2014-06-11
32	15	1	red maple	A	22.3	108.9	9.1	M	1.3	2014-06-11
31	16	1	red maple	A	23.2	107.5	5.9	M	1.3	2014-06-11
29	17	1	red maple	A	24.2	109.6	NA	S;D	1.3	2014-06-11
30	18	1	red maple	A	24.3	108	4.9	M	1.3	2014-06-11
28	19	1	red maple	A	24.8	109.4	6.5	M	1.3	2014-06-11
27	20	1	red maple	A	25.7	108.5	5.5	M	1.3	2014-06-11
26	21	1	red maple	A	26.5	108.8	11.1	M	1.3	2014-06-11
25	22	1	serviceberry	A	27.3	107.1	7	M	1.3	2014-06-11
24	23	1	witch hazel	A	28.7	107.5	4.4	M	1.3	2014-06-11
24	23	2	witch hazel	A	28.7	107.5	1.7		1.3	2014-06-11
24	23	3	witch hazel	A	28.7	107.5	1.4		1.3	2014-06-11
23	24	1	black cherry	A	29.7	105.8	13.8	M	1.3	2014-06-11
8894	25	1	black cherry	A	31.6	108.5	7.8	M	1.3	2014-06-11
12043	27204	1	serviceberry	A	33	105.9	2.4	M	1.3	2014-06-11
21	26	1	flowering dogwood	A	33.7	105.7	7.7	M	1.3	2014-06-11
