quad,row,xsample,side,ysample,species,tag,gbh03,gbh08,gbh14,stem,x,y,year_08,not new 2008,not new 2014,notes03,notes07,notes08,notes14,code08,code14
A,1,4.8,L,0,Serviceberry,8896,0,0,12.6,1,4.8,105,,,,,,,,,
A,1,4.9,L,0.7,Black Cherry,12053,0,0,6,1,4.9,105.7,,,,,,,,,
A,1,8.7,L,2.5,White Oak,8573,122.6,129.4,137,1,8.7,107.5,2008,,,,,,,,
A,1,9.1,L,2,Red Maple,12052,0,0,12.9,1,9.1,107,,,,,,,,,
A,1,10.4,L,0.1,Serviceberry,12051,0,0,8.5,1,10.4,105.1,,,,,,,,,
A,1,10.8,L,3.6,Serviceberry,44,16.3,18.5,20,1,10.8,108.6,2008,,,,,,,,
A,1,11.6,L,0.7,Black Cherry,45,135.1,142,144,1,11.6,105.7,2008,,,,,,,,
A,1,12,L,2,Black Cherry,12050,0,12,13,1,12,107,2008,,,,,,,,
A,1,12.5,L,3.4,Red Maple,42,11.3,12.9,13.6,1,12.5,108.4,2008,,,,,,,,
A,1,12.5,L,0.8,Red Maple,43,11.7,14.5,16.9,1,12.5,105.8,2008,,,,,,,,
A,1,13.3,L,2.4,Red Maple,41,19.9,26,31.9,1,13.3,107.4,2008,,,,,,,,
A,1,14.9,L,4.4,Red Maple,12049,0,0,9.1,1,14.9,109.4,,,,,,,,,
A,1,14.9,L,1.3,Red Maple,40,15.6,19.1,23.5,1,14.9,106.3,2008,,,,,,,,
A,1,15.6,L,4,Red Maple,39,19.3,24.1,28.6,1,15.6,109,2008,,,,,,,,
A,1,15.7,L,3.5,Red Maple,12048,0,0,6.9,1,15.7,108.5,,,,,,,,,
A,1,16.5,L,3.3,Red Maple,37,10.9,12.5,13.5,1,16.5,108.3,2008,,,,,,,,
A,1,16.5,L,1,Red Maple,38,13,15.8,17.8,1,16.5,106,2008,,,,,,,,
A,1,17.5,L,1.6,Red Maple,12047,0,0,8.2,1,17.5,106.6,,,,,,,,,
A,1,17.9,L,2.3,Black Cherry,36,53.5,56.2,57.5,1,17.9,107.3,2008,,,,,,,,
A,1,18.3,L,3,Red Maple,12046,0,0,8.2,1,18.3,108,,,,,,,,,
A,1,19.9,L,2,Red Maple,12045,0,0,6.3,1,19.9,107,,,,,,,,,
A,1,20.4,L,0.4,Red Maple,12044,0,0,8.2,1,20.4,105.4,,,,,,,,,
A,1,20.7,L,2.5,Serviceberry,35,11,12.7,13.3,1,20.7,107.5,2008,,,,,,,,
A,1,21.3,L,1.4,Red Maple,34,12.6,15.2,16.8,1,21.3,106.4,2008,,,,,,,,
A,1,21.9,L,2.5,Red Maple,33,13.9,16.8,19,1,21.9,107.5,2008,,,,,,,,
A,1,22.3,L,3.9,Red Maple,32,19.7,24.3,28.6,1,22.3,108.9,2008,,,,,,,,
A,1,23.2,L,2.5,Red Maple,31,13.4,15,18.4,1,23.2,107.5,2008,,,,,,,,
A,1,24.2,L,4.6,Red Maple,29,11.6,12.3,0,1,24.2,109.6,2008,,,,,,,,S
A,1,24.3,L,3,Red Maple,30,14.1,14.8,15.4,1,24.3,108,2008,,,,,,,,
A,1,24.8,L,4.4,Red Maple,28,16,19.8,20.3,1,24.8,109.4,2008,,,,,,,,
A,1,25.7,L,3.5,Red Maple,27,15,16.4,17.2,1,25.7,108.5,2008,,,,,,,,
A,1,26.5,L,3.8,Red Maple,26,21.7,27.9,35,1,26.5,108.8,2008,,,,,,,,
A,1,27.3,L,2.1,Serviceberry,25,17.9,20,22,1,27.3,107.1,2008,,,,,,,,
A,1,28.7,L,2.5,Witch Hazel,24,11.2,13.1,13.9,1,28.7,107.5,2008,,,,,,,,
A,1,28.7,L,2.5,Witch Hazel,24,0,0,5.3,2,28.7,107.5,,,,,,,,,
A,1,28.7,L,2.5,Witch Hazel,24,0,0,4.4,3,28.7,107.5,,,,,,,,,
A,1,29.7,L,0.8,Black Cherry,23,36.6,41.8,43.3,1,29.7,105.8,2008,,,,,,,,
A,1,31.6,L,3.5,Black Cherry,8894,20.6,25.6,24.5,1,31.6,108.5,2008,,,,,,,,
A,1,33,L,0.9,Serviceberry,12043,0,0,7.5,1,33,105.9,,,,,,,,,
A,1,33.7,L,0.7,Flowering Dogwood,21,20.6,22.5,24.3,1,33.7,105.7,2008,,,,,,,,
A,1,36.2,L,2.2,Red Maple,20,81.6,87.8,0,1,36.2,107.2,2008,,,,,,,,
A,1,39.5,L,3.4,Black Cherry,19,10.4,11.6,13.5,1,39.5,108.4,2008,,,,,,,,
A,1,41.1,L,1.9,Black Cherry,18,11,0,0,1,41.1,106.9,2008,,,,,"fungly, dead standing",,S,
A,1,42.2,L,0.4,Black Cherry,17,11,12.7,14.2,1,42.2,105.4,2008,,,,,,,,
A,1,43.2,L,2.5,Black Cherry,16,13.1,17.3,20.1,1,43.2,107.5,2008,,,,,,,,
A,1,46.2,L,3.9,Black Cherry,15,11,0,0,1,46.2,108.9,2008,,,,,dead fallen,,,
A,1,46.5,L,1.2,Serviceberry,14,13.1,16.4,20.4,1,46.5,106.2,2008,,,,,ss 9.1,,,
A,1,46.9,L,0.5,Witch Hazel,13,12.5,13.7,14.5,1,46.9,105.5,2008,,,,,,,,
A,1,46.9,L,0.5,Witch Hazel,13,0,0,8.8,2,46.9,105.5,,,,,,,,,
A,1,46.9,L,0.5,Witch Hazel,13,0,0,4.7,3,46.9,105.5,,,,,,,,,
A,1,47.5,L,1.8,Witch Hazel,12042,0,0,11.3,1,47.5,106.8,,,,,,,,,
A,1,47.5,L,1.8,Witch Hazel,12042,0,0,5,2,47.5,106.8,,,,,,,,,
A,1,47.5,L,1.8,Witch Hazel,12042,0,0,4.1,3,47.5,106.8,,,,,,,,,
A,1,47.5,L,1.8,Witch Hazel,12042,0,0,4.1,4,47.5,106.8,,,,,,,,,
A,1,47.9,L,0.2,Black Cherry,12,14.1,0,0,1,47.9,105.2,2008,,,,,dead fallen,,,
A,1,48.2,L,4,White Oak,289,108.8,109.9,113,1,48.2,109,2008,,,,,,,,
A,1,48.6,L,0.1,Serviceberry,12041,0,0,7.5,1,48.6,105.1,,,,,,,,,
A,1,49.8,L,3.5,Witch Hazel,10,11.5,12.3,12.8,1,49.8,108.5,2008,,,,,,,,
A,1,49.8,L,3.5,Witch Hazel,10,0,0,5.3,2,49.8,108.5,,,,,,,,,
A,1,49.8,L,3.5,Witch Hazel,10,0,0,3.1,3,49.8,108.5,,,,,,,,,
A,1,51.2,L,0.4,Flowering Dogwood,9,16.6,17.7,18.7,1,51.2,105.4,2008,,,,,,,,
A,1,52.1,L,4.6,Red Maple,8981,0,0,12.2,1,52.1,109.6,,,,,,,,,
A,1,52.3,L,2,Witch Hazel,12040,0,0,9.9,1,52.3,107,,,,,,,,,
A,1,52.6,L,2.5,Witch Hazel,12039,0,0,6.3,1,52.6,107.5,,,,,,,,,
A,1,52.7,L,0.3,Black Cherry,8,23.4,26.2,0,1,52.7,105.3,2008,,,,,,,,
A,1,53,L,4.3,Witch Hazel,12038,0,0,8.2,1,53,109.3,,,,,,,,,
A,1,54.3,L,2.1,Flowering Dogwood,300,0,10.5,0,1,54.3,107.1,2008,,,,,,,,N
A,1,54.6,L,2,Witch Hazel,12037,0,0,6.3,1,54.6,107,,,,,,,,,
A,1,54.8,L,1.1,Red Maple,7,13.8,16,18,1,54.8,106.1,2008,,,,,,,,
A,1,55.9,L,1.2,Red Maple,6,21.6,26.7,32.4,1,55.9,106.2,2008,,,,,,,,
A,1,56.7,L,3.8,Serviceberry,5,13.7,15.7,17,1,56.7,108.8,2008,,,,,,,,
A,1,59.3,L,0.7,Black Cherry,4,23.2,24.3,0,1,59.3,105.7,2008,,,,,,,,S
A,1,61.3,L,0.9,Witch Hazel,12036,20.7,11.3,11,1,61.3,105.9,2008,,,,,dead standing (little sister),,R,R
A,1,61.3,L,0.9,Witch Hazel,12036,0,0,5,2,61.3,105.9,,,,,,,,,
A,1,61.6,L,4.1,Black Cherry,2,15.3,0,0,1,61.6,109.1,2008,,,,,dead standing,,S,
A,1,63.4,L,0.6,Witch Hazel,4500,18.4,11.8,10.7,1,63.4,105.6,2008,,,,,dead standing (little sister),,R,R
A,1,63.4,L,0.4,Black Cherry,1,21.7,25.7,25.7,1,63.4,105.4,2008,,,,,,,,
A,1,63.4,L,0.6,Witch Hazel,4500,0,0,4.7,2,63.4,105.6,,,,,,,,,
A,1,63.4,L,0.6,Witch Hazel,4500,0,0,3.1,3,63.4,105.6,,,,,,,,,
A,1,66.2,L,4.1,Witch Hazel,12034,0,0,7.9,1,66.2,109.1,,,,,,,,,
A,1,66.2,L,4.1,Witch Hazel,12034,0,0,3.5,2,66.2,109.1,,,,,,,,,
A,1,66.2,L,4.1,Witch Hazel,12034,0,0,3.1,3,66.2,109.1,,,,,,,,,
A,1,66.7,L,3.3,Witch Hazel,12035,0,0,9.4,1,66.7,108.3,,,,,,,,,
A,1,68.6,L,2.7,Red Maple,4499,25.9,32.2,40.2,1,68.6,107.7,2008,,,,,,,,
A,1,68.9,L,2.2,Red Maple,12032,0,0,8.5,1,68.9,107.2,,,,,,,,,
A,1,69.3,L,3.1,Red Maple,12033,0,0,4.1,1,69.3,108.1,,,,,,,,,
A,1,69.3,L,1.3,Red Maple,12031,0,0,6,1,69.3,106.3,,,,,,,,,
A,1,69.7,L,5,Red Maple,4498,20.1,25.5,33.1,1,69.7,110,2008,,,,,,,,
A,1,70.2,L,1.5,Red Maple,12030,0,0,8.8,1,70.2,106.5,,,,,,,,,
A,1,71,L,0,Red Maple,12029,0,0,8.5,1,71,105,,,,,,,,,
A,1,71.1,L,0.8,Red Maple,12028,0,0,3.1,1,71.1,105.8,,,,,,,,,
A,1,71.3,L,2.3,Flowering Dogwood,4496,19.9,0,0,1,71.3,107.3,2008,,,,,dead standing,,S,
A,1,71.3,L,4.8,Red Maple,4497,12.9,15.7,15.1,1,71.3,109.8,2008,,,,,,,,
A,1,72,L,3.7,Red Maple,12027,0,0,6.9,1,72,108.7,,,,,,,,,
A,1,72.2,L,1.2,Red Maple,4495,18.3,22.2,26,1,72.2,106.2,2008,,,,,,,,
A,1,72.8,L,3.2,Red Maple,4494,15.5,17,17,1,72.8,108.2,2008,,,,,,,,
A,1,74.1,L,1.5,Flowering Dogwood,4492,13.6,0,0,1,74.1,106.5,2008,,,,,dead standing,,S,
A,1,74.2,L,4.1,Red Maple,4493,17.2,20.4,25.1,1,74.2,109.1,2008,,,,,,,,
A,1,74.6,L,2.5,Red Maple,4491,12,12.6,13.2,1,74.6,107.5,2008,,,,,,,,
A,1,74.9,L,4.3,Red Maple,4490,19.1,24,29,1,74.9,109.3,2008,,,,,,,,
A,1,75,L,2.7,Red Maple,4489,10.5,10.9,11,1,75,107.7,2008,,,,,dancing with other tree,,,
A,1,75.8,L,0.4,White Oak,4488,107.5,111.4,114.2,1,75.8,105.4,2008,,,,,,,,
